selectivity,seed,query_id,bernoulli,birch,distance_shell,gmm,hdbscan,hilbert,hybrid,kde_pilot,kdtree,km20,lsh,minibatch,minibatch_partial,pca1d,pq,random_proj,sobol,sparse_rp,spectral,zorder,best,worst,spread
0.01,0.1,35,1.2890335470980634,1.5874891672575435,3.878875,1.636521990029548,1.6374126442385828,1.5564463889251665,1.2275173697270472,1.6540444161797814,1.024082729086183,1.8389540273501483,2.099355426407209,1.4947852356526874,1.118553219276479,1.0374298027948283,1.775009388517727,3.58034620456182,1.0117004872400812,2.015,1.7154392727048284,1.9148986719251146,sobol,distance_shell,2.8671745127599184
0.01,0.1,36,1.3527610105868768,1.485825037495456,1.2320481249999997,1.087614704882746,2.8762957312566155,,1.062259191164026,2.0048918037049255,1.1926981964945018,1.7126222454303803,1.93101297441095,2.5511842822976547,1.3546551429940032,2.486017199163684,,1.0389530425415126,1.6332908459579087,1.3705598122880343,1.3420430289533645,1.2056059478202534,random_proj,hdbscan,1.837342688715103
0.01,0.1,37,1.9220884374999998,1.0865525871919037,1.9220884374999998,1.0129404276599936,1.1449516769906127,1.542243169109067,1.919899376441078,1.1557575392704638,1.2934550349508895,1.0437049194801875,1.2518432813841462,1.657616695641537,5.027530989340065,1.3127618681149975,1.2747283226406254,4.001384150553397,1.7337967096285767,2.068918713237983,2.8647759447317753,1.2842720338195732,gmm,minibatch_partial,4.0145905616800714
0.01,0.1,38,1.3536951647700834,2.281548637064975,1.4111751440741667,1.164084924675144,1.238092233841934,1.8240893625537875,1.1058197246541115,2.424965907550437,2.928159932852619,1.2153471626950112,1.2228593567084727,1.4840926537897057,1.2940390879478827,2.142565472312703,1.3299842567987323,4.593965295360544,2.097694325390022,1.3577905023144181,2.471051671524087,1.233536996995313,hybrid,random_proj,3.4881455707064326
0.01,0.1,39,1.5650932045609427,,1.1677536506898505,1.1687052254298285,1.165409018110139,1.041266831401879,3.277879048485123,1.497779744491466,1.8077117221877188,1.8327198999907488,1.8082118741493454,2.092789751179354,1.2719274019847508,1.263652682112294,1.8770354599151657,1.205643722663425,1.7692505979359647,1.2826610169491526,1.094535461885193,1.2828562176558307,hilbert,hybrid,2.236612217083244
0.01,0.1,40,2.0282040625,1.6923404021040298,1.2831495089285714,2.519146367158956,1.3936503488714111,1.3563757301306143,1.1561375620123475,2.8269855714278482,2.160609539505615,1.633539409678482,1.8104843516578404,,1.8618316666852677,1.0323840353530507,2.0022266535809616,1.0931104645011833,1303.7741686001546,1.0009325005828127,2.030260238740024,1.708220089903721,sparse_rp,sobol,1302.7732360995717
0.01,0.1,41,3.9837874999999996,1.028104992187665,1.5061044295158819,1.0468152744751464,1.0796429343472236,1.3621412262154986,1.083356350689453,4.053679204665295,1.0455167590987984,1.3227676402894166,1.3427660825777903,1.090460326759548,1.1427457925721887,,1.7159484556401876,1.2676268740224566,1.178246996324917,1.3796655169454024,1.66683446428931,1.3303019615107123,birch,kde_pilot,3.02557421247763
0.01,0.1,42,1.498213380543702,1.1491882570659488,1.1276874907318184,1.3102859716138295,1.249610954755362,1.0078036612392354,1.0948378846325892,12.562703410632642,6.486021717103347,1.3062293182485152,1.1336723896720267,1.220350463979599,1.769746599254315,1.7607245317196087,1.0449815129175564,1.028792539896174,1.0358453606221216,1.3175844706925488,1.8331938141604618,1.5207715621489792,hilbert,kde_pilot,11.554899749393407
0.01,0.1,43,3.754279375,1.7492659311816383,3.754279375,1.2314336868428812,1.7451594108433175,1.3564996569309726,1.214007606214778,3.950879365302486,1.7993688474432414,1.9269304126476092,1.5157324547006135,1.715642789181631,1.5970950115671947,1.3348215737456728,6.135327820181597,1.252023904371701,1.2173785883097457,1.9002656342918556,1.4191620749840272,1.6164616460971428,hybrid,pq,4.921320213966819
0.01,0.1,44,1.0393195312499999,1.0509600229084608,1.4432520075860935,2.966164027570453,2.06503261104663,1.3809319880594602,1.3712294250630344,1.0363816805896022,1.6733995924050602,,1.4842399626849947,1.2220076584933424,1.1420878452569656,2.029976290568544,1.2953584911125353,1.4031268830175805,1.0167436253551105,1.9374702601267886,1.0200371043949517,1.0260430514052685,sobol,gmm,1.9494204022153425
