dataset,sel,method,n_pairs,delta_pct_mean,delta_pct_ci_low,delta_pct_ci_high,delta_pct_se,ci_excludes_zero,cohens_d,d_magnitude,direction
SIFT,0.05,birch,500,0.31973931269639416,-3.1116414633293523,3.981230957768604,2.294076580622887,False,0.0594126160434243,negligible,hurt
SIFT,0.05,gmm,500,-1.0004061569356728,-4.178672740033417,2.4172364035087766,2.2574454811587206,False,-0.09121454247090346,negligible,improve
SIFT,0.05,hdbscan,500,-2.6702120267132172,-5.831626248408488,0.6800175438596678,2.2161177128282548,False,-0.10849822151527447,negligible,improve
SIFT,0.05,sobol,500,7.564950999629829,2.719464310768776,13.20099503390924,2.9597364787074825,True,0.10704400079794175,negligible,hurt
SIFT,0.05,sparse_rp,500,-1.5725438531459164,-4.744736041189966,2.6544918773122284,2.388560529732883,False,-0.0728371126960673,negligible,improve
SIFT,0.1,minibatch,500,-2.5188916619947688,-3.95519271228848,-0.5269561814053082,0.8628677960326266,True,-0.13078187336980157,negligible,improve
SIFT,0.1,minibatch_partial,500,-2.3578695871179645,-4.152083663602661,-0.42591903907496437,0.9019966910960495,True,-0.15302717216672582,negligible,improve
SIFT,0.1,random_proj,500,3.1075295674523775,0.8907033458646662,5.511740653314425,1.2132088537402017,True,0.28030013561620787,small,hurt
SIFT,0.1,pca1d,500,-2.3001031229684186,-3.8472507205282342,-0.379064724463122,0.8776425319542679,True,-0.10454658860199548,negligible,improve
SIFT,0.1,hilbert,500,-2.9119104185378855,-4.254227087878236,-1.051284135248161,0.8009686455162915,True,-0.21433255483701505,small,improve
SIFT,0.1,zorder,500,-1.7131682281208231,-3.3718489405331487,0.22829346092503108,0.9754904948797506,False,-0.13045910600001898,negligible,improve
SIFT,0.1,hybrid,500,-3.099302981152105,-4.613420762183821,-1.185162978468927,0.854392800341588,True,-0.21450592351659403,small,improve
SIFT,0.1,kdtree,500,-2.1711619602495422,-3.613716316032431,-0.2886379585326731,0.8485608019795913,True,-0.14158490018592954,negligible,improve
SIFT,0.1,pq,500,2.601217570386294,0.34484014845203337,5.041232874780573,1.133906384077985,True,0.2686952153599689,small,hurt
SIFT,0.1,lsh,500,1.7412971665084134,-0.4769158806106153,3.8620296781344345,1.116229891713586,False,0.21115516559012373,small,hurt
SIFT,0.1,kde_pilot,500,0.6368922494150324,-1.2766041296581836,2.6925163898454145,0.9880748602419647,False,0.021918348467644743,negligible,hurt
SIFT,0.1,distance_shell,500,13.05500586554579,9.288951517690524,16.684603190762207,2.0392103279637293,True,0.6075789655260402,medium,hurt
SIFT,0.1,is_p50_noclip,493,21.097178115703965,16.53117815822935,26.13033172307555,2.754093716121442,True,0.41186835899464475,small,hurt
SIFT,0.1,is_p50_clip,493,21.84290800673114,17.92956609369182,27.813429921006875,2.476404769976307,True,0.43785184586111003,small,hurt
SIFT,0.1,is_p200_noclip,478,24.98255945744626,20.171399884744474,29.707588166429282,2.4063229523083796,True,0.4762895694554303,small,hurt
SIFT,0.1,is_p200_clip,478,29.74431338977235,24.316617251191786,34.78745395388276,2.405093270620132,True,0.5832732267384101,medium,hurt
SIFT,0.1,spectral,500,0.4480722490038302,-1.4883891547049295,2.584692660340039,1.0251313203670154,False,0.1456274644712798,negligible,hurt
SIFT,0.1,birch,500,-1.6479092293240687,-3.255913833450946,0.16533514327889093,0.9292018040804984,False,-0.026981122521155494,negligible,improve
SIFT,0.1,gmm,500,-1.4325432798523587,-3.166554587267572,0.6136395534290189,0.8959903170168089,False,-0.1394604184032238,negligible,improve
SIFT,0.1,hdbscan,500,-3.986065422582001,-5.339267124131837,-2.123824144830214,0.85578190129927,True,-0.190245790386986,negligible,improve
SIFT,0.1,sobol,500,2.9471130737330404,0.8659345212113487,5.18997687526193,1.1658992332423084,True,0.2603293741379464,small,hurt
SIFT,0.1,sparse_rp,500,-1.8953174812066143,-3.4622231572785833,0.07878580885353317,0.9595424604144682,False,-0.11439532029589942,negligible,improve
SIFT,0.3,minibatch,500,-1.552059643853094,-2.1525886807296195,-0.710266510148333,0.38892501697240783,True,-0.30450267199098574,small,improve
SIFT,0.3,minibatch_partial,500,-1.471975169929372,-2.2092266616034832,-0.6389419927301929,0.40145795641718823,True,-0.20345121088163487,small,improve
SIFT,0.3,random_proj,500,1.7626502632771766,0.8079523973612268,2.9392024505708507,0.5475113687486861,True,0.3256437997073836,small,hurt
SIFT,0.3,pca1d,500,-0.8598539654853035,-1.5745604365252546,0.04623763617484324,0.4234412799646302,False,-0.1437727296156261,negligible,improve
SIFT,0.3,hilbert,500,-1.4848227428704055,-2.1831563754980876,-0.605462400286963,0.4062186336240603,True,-0.2594353251173485,small,improve
SIFT,0.3,zorder,500,-1.0111094718268654,-1.708827118300792,-0.1837589801708302,0.40729230066883926,True,-0.2187216213038844,small,improve
SIFT,0.3,hybrid,500,-1.310497755031876,-1.942661500098623,-0.505267783094116,0.3895481428998153,True,-0.2603320174050112,small,improve
SIFT,0.3,kdtree,500,-1.1555620718230117,-1.9013443912812418,-0.25770422184973074,0.41697844022737357,True,-0.2179659700989566,small,improve
SIFT,0.3,pq,500,1.3736455542089276,0.39251224834628656,2.5792829295460695,0.5702037339360118,True,0.29195915904667363,small,hurt
