dataset,selectivity,query_id,mode,q_error,bern_q,method_minus_bern,rank
DEEP,0.01,3,hybrid,1.6542355070772252,1.916371507280598,-0.2621360002033728,14.0
DEEP,0.01,3,kde_pilot,1.183265218906628,1.916371507280598,-0.7331062883739701,2.0
DEEP,0.01,3,kdtree,1.248660937506327,1.916371507280598,-0.6677105697742711,4.0
DEEP,0.01,3,km20,2.1466261656073717,1.916371507280598,0.23025465832677372,18.0
DEEP,0.01,3,lsh,1.3398738232221206,1.916371507280598,-0.5764976840584775,7.0
DEEP,0.01,3,minibatch,1.147911094224924,1.916371507280598,-0.768460413055674,1.0
DEEP,0.01,3,minibatch_partial,1.441118475956849,1.916371507280598,-0.4752530313237491,10.0
DEEP,0.01,3,pca1d,1.407580600493992,1.916371507280598,-0.5087909067866061,9.0
DEEP,0.01,3,pq,1.2249218496971097,1.916371507280598,-0.6914496575834883,3.0
DEEP,0.01,3,random20,1.2990371922115425,1.916371507280598,-0.6173343150690556,6.0
DEEP,0.01,3,random_proj,2.1229001754385965,1.916371507280598,0.20652866815799853,17.0
DEEP,0.01,3,sobol,1.6161826772846806,1.916371507280598,-0.30018882999591745,12.0
DEEP,0.01,3,sparse_rp,2.148654660523989,1.916371507280598,0.23228315324339088,19.0
DEEP,0.01,3,spectral,1.5480117349120173,1.916371507280598,-0.36835977236858075,11.0
DEEP,0.01,3,zorder,2.219277566983485,1.916371507280598,0.302906059702887,20.0
DEEP,0.01,4,birch,1.4699687098173202,1.632215007215007,-0.1622462973976868,8.0
DEEP,0.01,4,distance_shell,1.1280663227497332,1.632215007215007,-0.5041486844652738,2.0
DEEP,0.01,4,gmm,1.311997460459231,1.632215007215007,-0.32021754675577596,4.0
DEEP,0.01,4,hdbscan,1.4153371739372882,1.632215007215007,-0.2168778332777188,5.0
DEEP,0.01,4,hilbert,1.4832076614087009,1.632215007215007,-0.14900734580630615,9.0
DEEP,0.01,4,hybrid,1.48720074486006,1.632215007215007,-0.14501426235494708,10.0
DEEP,0.01,4,kde_pilot,1.090289583476721,1.632215007215007,-0.541925423738286,1.0
DEEP,0.01,4,kdtree,1.7502450840565142,1.632215007215007,0.11803007684150724,17.0
DEEP,0.01,4,km20,1.5924295404120445,1.632215007215007,-0.039785466802962466,13.0
DEEP,0.01,4,lsh,1.7024388190830313,1.632215007215007,0.07022381186802429,16.0
DEEP,0.01,4,minibatch,2.3719828579084004,1.632215007215007,0.7397678506933933,20.0
DEEP,0.01,4,minibatch_partial,1.8187960183364535,1.632215007215007,0.18658101112144654,18.0
DEEP,0.01,4,pca1d,1.5620105263157895,1.632215007215007,-0.07020448089921749,12.0
DEEP,0.01,4,pq,1.4513524213361295,1.632215007215007,-0.1808625858788775,7.0
DEEP,0.01,4,random20,1.1589035719970093,1.632215007215007,-0.4733114352179977,3.0
DEEP,0.01,4,random_proj,1.6843028560700097,1.632215007215007,0.05208784885500273,15.0
DEEP,0.01,4,sobol,1.4169557240633166,1.632215007215007,-0.2152592831516904,6.0
DEEP,0.01,4,sparse_rp,1.5221052631578948,1.632215007215007,-0.11010974405711216,11.0
DEEP,0.01,4,spectral,1.592773411362975,1.632215007215007,-0.039441595852031996,14.0
DEEP,0.01,4,zorder,2.0442806941729335,1.632215007215007,0.41206568695792645,19.0
DEEP,0.01,5,birch,1.4704879523782761,1.716138125440451,-0.24565017306217496,12.0
DEEP,0.01,5,distance_shell,1.4633076923076922,1.716138125440451,-0.2528304331327589,11.0
DEEP,0.01,5,gmm,1.2694905789197268,1.716138125440451,-0.44664754652072425,5.0
DEEP,0.01,5,hdbscan,1.1995055935911052,1.716138125440451,-0.5166325318493459,3.0
DEEP,0.01,5,hilbert,1.3624276618973503,1.716138125440451,-0.35371046354310076,9.0
DEEP,0.01,5,hybrid,1.5180093662098577,1.716138125440451,-0.19812875923059337,13.0
DEEP,0.01,5,is_p50_clip,2.9230367632054945,1.716138125440451,1.2068986377650435,21.0
DEEP,0.01,5,is_p50_noclip,9.988241907375961,1.716138125440451,8.27210378193551,22.0
DEEP,0.01,5,kde_pilot,1.1222749182378189,1.716138125440451,-0.5938632072026322,2.0
DEEP,0.01,5,kdtree,1.9370482016204025,1.716138125440451,0.2209100761799514,19.0
DEEP,0.01,5,km20,1.0772074247939132,1.716138125440451,-0.6389307006465379,1.0
DEEP,0.01,5,lsh,1.8209552139678464,1.716138125440451,0.10481708852739535,18.0
DEEP,0.01,5,minibatch,1.3021156403452459,1.716138125440451,-0.41402248509520523,6.0
DEEP,0.01,5,minibatch_partial,1.2123936837123277,1.716138125440451,-0.5037444417281234,4.0
DEEP,0.01,5,pca1d,1.354599568824686,1.716138125440451,-0.36153855661576517,8.0
DEEP,0.01,5,pq,1.6328097499583705,1.716138125440451,-0.08332837548208061,15.0
DEEP,0.01,5,random20,1.5912521649320597,1.716138125440451,-0.1248859605083914,14.0
DEEP,0.01,5,random_proj,1.317309610802165,1.716138125440451,-0.39882851463828617,7.0
DEEP,0.01,5,sobol,2.051790133169969,1.716138125440451,0.33565200772951775,20.0
DEEP,0.01,5,sparse_rp,1.6743859649122808,1.716138125440451,-0.04175216052817032,16.0
DEEP,0.01,5,spectral,1.7222809997157327,1.716138125440451,0.006142874275281596,17.0
DEEP,0.01,5,zorder,1.4619204848058742,1.716138125440451,-0.25421764063457686,10.0
DEEP,0.01,6,birch,1.8849082745275698,1.7529148629148628,0.13199341161270706,20.0
DEEP,0.01,6,distance_shell,1.2117969250345502,1.7529148629148628,-0.5411179378803126,3.0
