method,dataset,sel,n,delta_pct_mean,ci_lo,ci_hi,ci0_excl,cohen_d,method_median,bern_median
minibatch,SIFT_1M,0.3,500,-2.519,-3.085,-1.932,True,-0.4087,1.0483,1.0734
minibatch,SIFT_1M,0.5,500,-1.226,-1.573,-0.869,True,-0.3095,1.0274,1.0394
minibatch_partial,SIFT_1M,0.01,475,14.045,8.278,19.939,True,-0.002,1.3878,1.3112
minibatch_partial,SIFT_1M,0.05,500,-2.112,-3.95,-0.251,True,-0.2031,1.1459,1.1992
minibatch_partial,SIFT_1M,0.1,500,-3.598,-4.799,-2.384,True,-0.3252,1.0933,1.1435
minibatch_partial,SIFT_1M,0.3,500,-2.508,-3.095,-1.908,True,-0.3954,1.0461,1.0734
minibatch_partial,SIFT_1M,0.5,500,-1.03,-1.401,-0.674,True,-0.2579,1.028,1.0394
random_proj,SIFT_1M,0.01,404,613.397,422.982,821.111,True,0.3013,3.3349,1.3112
random_proj,SIFT_1M,0.05,499,627.973,241.424,1164.394,True,0.1149,1.5568,1.1994
random_proj,SIFT_1M,0.1,500,49.19,34.068,74.611,True,0.1932,1.3599,1.1435
random_proj,SIFT_1M,0.3,500,12.097,10.359,13.978,True,0.5859,1.1604,1.0734
random_proj,SIFT_1M,0.5,500,7.596,6.676,8.577,True,0.6881,1.102,1.0394
pca1d,SIFT_1M,0.01,478,15.615,9.657,21.814,True,0.0185,1.3616,1.3112
pca1d,SIFT_1M,0.05,500,-0.317,-2.235,1.639,False,-0.1335,1.1709,1.1992
pca1d,SIFT_1M,0.1,500,-3.197,-4.495,-1.943,True,-0.2882,1.1013,1.1435
pca1d,SIFT_1M,0.3,500,-2.078,-2.678,-1.48,True,-0.3326,1.051,1.0734
pca1d,SIFT_1M,0.5,500,-0.734,-1.114,-0.337,True,-0.1827,1.0314,1.0394
hilbert,SIFT_1M,0.01,477,12.327,6.765,18.089,True,-0.0287,1.3428,1.3102
hilbert,SIFT_1M,0.05,500,-1.361,-3.117,0.475,False,-0.1822,1.1616,1.1992
hilbert,SIFT_1M,0.1,500,-3.697,-4.85,-2.527,True,-0.3305,1.0967,1.1435
hilbert,SIFT_1M,0.3,500,-2.716,-3.299,-2.124,True,-0.4267,1.0405,1.0734
hilbert,SIFT_1M,0.5,500,-1.165,-1.536,-0.788,True,-0.2947,1.0275,1.0394
zorder,SIFT_1M,0.01,481,12.155,6.685,17.507,True,-0.0155,1.3315,1.3112
zorder,SIFT_1M,0.05,500,-2.586,-4.353,-0.884,True,-0.2289,1.1355,1.1992
zorder,SIFT_1M,0.1,500,-4.345,-5.534,-3.187,True,-0.3753,1.0911,1.1435
zorder,SIFT_1M,0.3,500,-2.626,-3.232,-2.029,True,-0.4098,1.0423,1.0734
zorder,SIFT_1M,0.5,500,-1.039,-1.393,-0.696,True,-0.2651,1.0293,1.0394
hybrid,SIFT_1M,0.01,477,15.133,9.783,20.969,True,0.0141,1.4282,1.3113
hybrid,SIFT_1M,0.05,500,-0.136,-2.351,2.122,False,-0.1177,1.1521,1.1992
hybrid,SIFT_1M,0.1,500,-3.277,-4.538,-2.01,True,-0.2955,1.0925,1.1435
hybrid,SIFT_1M,0.3,500,-2.492,-3.079,-1.901,True,-0.3986,1.0469,1.0734
hybrid,SIFT_1M,0.5,500,-0.929,-1.313,-0.57,True,-0.2333,1.0305,1.0394
kdtree,SIFT_1M,0.01,478,18.058,10.796,25.413,True,0.04,1.4255,1.31
kdtree,SIFT_1M,0.05,500,-1.135,-2.972,0.685,False,-0.1659,1.1495,1.1992
kdtree,SIFT_1M,0.1,500,-3.331,-4.611,-2.055,True,-0.3018,1.099,1.1435
kdtree,SIFT_1M,0.3,500,-2.191,-2.781,-1.566,True,-0.3496,1.0454,1.0734
kdtree,SIFT_1M,0.5,500,-0.841,-1.204,-0.455,True,-0.2128,1.0297,1.0394
pq,SIFT_1M,0.01,462,94.594,61.091,135.772,True,0.2065,1.5096,1.3107
pq,SIFT_1M,0.05,500,10.398,6.589,14.742,True,0.1439,1.2486,1.1992
pq,SIFT_1M,0.1,500,0.769,-0.779,2.294,False,-0.0319,1.1294,1.1435
pq,SIFT_1M,0.3,500,-1.129,-1.829,-0.415,True,-0.1834,1.0547,1.0734
pq,SIFT_1M,0.5,500,-0.024,-0.419,0.398,False,-0.0283,1.0379,1.0394
lsh,SIFT_1M,0.01,462,68.277,52.498,86.794,True,0.2832,1.7277,1.3114
lsh,SIFT_1M,0.05,500,9.122,6.44,11.818,True,0.1829,1.2322,1.1992
lsh,SIFT_1M,0.1,500,3.444,1.91,5.087,True,0.1033,1.1691,1.1435
lsh,SIFT_1M,0.3,500,1.515,0.733,2.286,True,0.1304,1.0844,1.0734
lsh,SIFT_1M,0.5,500,1.395,0.889,1.921,True,0.2107,1.0466,1.0394
kde_pilot,SIFT_1M,0.01,967,19.466,13.773,25.498,True,0.0588,1.3102,1.3112
kde_pilot,SIFT_1M,0.05,1000,3.081,1.568,4.686,True,0.0168,1.1798,1.1992
kde_pilot,SIFT_1M,0.1,1000,0.333,-0.659,1.327,False,-0.053,1.1298,1.1435
