dataset,sf,method,selectivity,median_qe,mean_qe,n_valid,paired_pct_vs_bern,ci_lo,ci_hi,ci_excludes_0,cohens_d
SIFT,1,hammersley,0.1,1.159107612111952,1.1943817606262537,500,-26.90059546747242,-29.085358953926473,-24.845558061230204,True,-1.1043769723186783
SIFT,1,hammersley,0.3,1.0656608085993065,1.0782816705279323,500,-24.97409274966888,-26.133739431415602,-23.7060436622883,True,-1.8095440398091578
SIFT,1,hammersley,0.5,1.036357489359764,1.0433599122035497,500,-18.214209768392713,-19.31694070385183,-17.0130403932293,True,-1.417352456238857
SIFT,1,reservoir,0.01,1.3272482392876612,1.697223438435561,486,-1.9039953065591595,-7.918334164585246,3.5832960441786113,False,-0.031047201774654625
SIFT,1,reservoir,0.05,1.1927485551849049,1.2462638989965493,500,-28.422795866662163,-31.114525888141074,-25.576910663389146,True,-0.9087982957525276
SIFT,1,reservoir,0.1,1.1153834239511942,1.1458478268262797,500,-30.00261061344313,-31.956737549143085,-28.120751662908372,True,-1.3834768633885208
SIFT,1,reservoir,0.3,1.058144682648471,1.0703075956165617,500,-25.621167444467996,-26.72766853104497,-24.476044501726825,True,-1.971588435189982
SIFT,1,reservoir,0.5,1.0354918981903978,1.0433377963507482,500,-18.297593624124406,-19.397670297307567,-17.123329140810732,True,-1.4856174219362859
SIFT,1,hilbert,0.01,1.3154422402983637,1.5943764233915307,495,-9.401862246301704,-14.316873541374385,-4.100754095614506,True,-0.1776659575486336
SIFT,1,hilbert,0.05,1.147066868506712,1.2013862833371893,500,-30.751164170788265,-33.29873269449454,-28.152895557786177,True,-1.0396782569515952
SIFT,1,hilbert,0.1,1.0968799941936405,1.1156379712290634,500,-32.08260662542218,-33.88884819458021,-30.397854059757435,True,-1.6257106140607556
SIFT,1,hilbert,0.3,1.0370106335338845,1.0466916434154252,500,-27.21912419081811,-28.31778664782669,-26.056861800063828,True,-2.1435767228672056
SIFT,1,hilbert,0.5,1.0232685407863744,1.0287419289281108,500,-19.368654460265297,-20.480589194726413,-18.15207631405254,True,-1.5601290003358552
SIFT,1,hybrid,0.01,1.4066513632331783,1.5552588968638361,443,-14.221732975334819,-18.532152798834993,-9.721089460631287,True,-0.3207051254166468
SIFT,1,hybrid,0.05,1.1554415210781723,1.2459896789683909,500,-26.443565246496565,-29.848838122716362,-22.906233359742235,True,-0.6570445620239399
SIFT,1,hybrid,0.1,1.1146923638108936,1.1539562084176007,500,-28.95032945874761,-31.10245069446038,-26.940514280833185,True,-1.185803833188622
SIFT,1,hybrid,0.3,1.0472917970084645,1.0639384524524131,500,-25.97561964779697,-27.098332875705047,-24.75270107314896,True,-1.9494623692410917
SIFT,1,hybrid,0.5,1.0330413583663822,1.0385181220827553,500,-18.584886185319718,-19.711129807184644,-17.3744432214812,True,-1.4540895083839578
