cell,method,selectivity,n_paired,mean_delta_pct,wilcoxon_stat,wilcoxon_p,significant_05
YFCC_sf1,Adaptive,0.01,500,7.829517218842128,,,False
YFCC_sf1,Adaptive,0.05,500,-3.961574008753089,42679.5,1.7883884268043513e-08,True
YFCC_sf1,Adaptive,0.1,500,-4.841028765411493,34911.5,3.12818561184447e-15,True
YFCC_sf1,Adaptive,0.3,500,-5.24162174557211,23492.0,1.1912379212320568e-32,True
YFCC_sf1,Adaptive,0.5,500,-4.157630052507069,20110.0,1.5095976341719222e-37,True
YFCC_sf10,HDBSCAN,0.01,500,12.387334838832983,,,False
YFCC_sf10,HDBSCAN,0.05,500,-5.349971660459094,39425.0,7.100194190298215e-13,True
YFCC_sf10,HDBSCAN,0.1,500,-6.873617260006705,28460.0,4.114379907385503e-26,True
YFCC_sf10,HDBSCAN,0.3,500,-4.230643081662737,25793.0,4.4340541440060116e-30,True
YFCC_sf10,HDBSCAN,0.5,500,-2.299222633439544,29376.0,8.115606457947457e-25,True
YFCC_sf10,MB_partial,0.01,500,14.61823902145043,,,False
YFCC_sf10,MB_partial,0.05,500,-4.574318474513824,41250.0,3.7690628957763165e-11,True
YFCC_sf10,MB_partial,0.1,500,-6.660831235533788,29632.0,1.841053337813688e-24,True
YFCC_sf10,MB_partial,0.3,500,-4.283707889761683,25075.0,3.3771956804343717e-31,True
YFCC_sf10,MB_partial,0.5,500,-2.082444927482082,34150.0,1.257692224869883e-18,True
YFCC_sf10,Hilbert,0.01,500,9.41808996146335,,,False
YFCC_sf10,Hilbert,0.05,500,-5.482552427215781,38127.0,3.4806742566043967e-14,True
YFCC_sf10,Hilbert,0.1,500,-6.270256503491124,32007.0,2.734004660315002e-21,True
YFCC_sf10,Hilbert,0.3,500,-4.1576456848413255,25344.0,8.912525954401972e-31,True
YFCC_sf10,Hilbert,0.5,500,-2.204399604786371,31233.0,2.683180233623283e-22,True
YFCC_sf10,sparse_rp,0.01,500,12.032255079620644,,,False
YFCC_sf10,sparse_rp,0.05,500,-5.067239209515168,40254.0,4.484026364306179e-12,True
YFCC_sf10,sparse_rp,0.1,500,-6.208094936353585,32552.0,1.3548368563019811e-20,True
YFCC_sf10,sparse_rp,0.3,500,-2.922846276542378,35387.0,3.5540847167764126e-17,True
YFCC_sf10,sparse_rp,0.5,500,-1.2521817980079677,44486.0,2.0029451125180834e-08,True
YFCC_sf10,Adaptive,0.01,500,9.889953247213427,,,False
YFCC_sf10,Adaptive,0.05,500,-3.1095630468803837,43099.0,1.101495536964208e-06,True
YFCC_sf10,Adaptive,0.1,500,-5.674950893502778,33203.0,1.3406028362664051e-17,True
YFCC_sf10,Adaptive,0.3,500,-3.1893835703204814,31973.0,6.53343924554121e-19,True
YFCC_sf10,Adaptive,0.5,500,-1.4157703634004164,42350.5,1.0904643823822477e-09,True
