cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,wilcoxon_p,significant_05
SSN_sf10,HDBSCAN,0.05,500,2.3092034183645618,1.5860746899107976,0.33256445551823977,False
SSN_sf10,HDBSCAN,0.1,500,0.12419778586461393,-0.8511213222056291,0.17236259233293272,False
SSN_sf10,HDBSCAN,0.3,500,-0.1308333092416178,-0.651302273093396,0.10004497883748752,False
SSN_sf10,HDBSCAN,0.5,500,-0.23330667201036248,-0.2375421830141315,0.12137238258427067,False
SSN_sf10,MB_partial,0.01,481,9.368958157479339,-1.4112978764623374,0.09248267360069504,False
SSN_sf10,MB_partial,0.05,500,2.3834095981564865,0.08416707624109414,0.7797271070107071,False
SSN_sf10,MB_partial,0.1,500,0.8300812697373147,0.17737074886248028,0.904698629120205,False
SSN_sf10,MB_partial,0.3,500,0.011629334959104995,-0.41877609294233814,0.309635895270842,False
SSN_sf10,MB_partial,0.5,500,-0.16207166775192,-0.14121294749020252,0.3412814114323618,False
SSN_sf10,Hilbert,0.01,479,12.042472803785017,-0.3088155917634721,0.311288129855142,False
SSN_sf10,Hilbert,0.05,500,3.996831843970454,0.8863080212078753,0.33426526756021724,False
SSN_sf10,Hilbert,0.1,500,0.928053116941223,-0.3891099006337518,0.5782476093143969,False
SSN_sf10,Hilbert,0.3,500,0.10494688884123517,-0.11133103794489103,0.6721314633259059,False
SSN_sf10,Hilbert,0.5,500,-0.14323053287643245,-0.16982343658259524,0.17727825030100908,False
SSN_sf10,sparse_rp,0.01,477,9.150839920268844,0.013897106465907182,0.22936901690067302,False
SSN_sf10,sparse_rp,0.05,500,2.644091599009415,0.23663035262671286,0.31870894591390697,False
SSN_sf10,sparse_rp,0.1,500,1.1337933595740006,0.4258186651846,0.7278052809174791,False
SSN_sf10,sparse_rp,0.3,500,-0.221174400510574,-0.13523923747380165,0.19265103244430037,False
SSN_sf10,sparse_rp,0.5,500,-0.42493780733424125,-0.1743895947447782,0.027050298924308266,True
WIKI_sf1,HDBSCAN,0.01,484,12.88056515322204,-1.3068161494557002,0.7189168907173441,False
WIKI_sf1,HDBSCAN,0.05,500,2.1461455611753437,-0.49702852333391934,0.9285107976491057,False
WIKI_sf1,HDBSCAN,0.1,500,0.06313549683655639,-0.7337172371555076,0.1862852316570256,False
WIKI_sf1,HDBSCAN,0.3,500,0.16309581442523055,0.08039169931109395,0.8507984306051446,False
WIKI_sf1,HDBSCAN,0.5,500,-0.11270548281481726,-0.29454262987082136,0.4694845866723907,False
WIKI_sf1,MB_partial,0.01,474,13.94320040367083,-1.1838209210526358,0.4397096757257618,False
WIKI_sf1,MB_partial,0.05,500,1.5338164099549572,-0.9878594381072883,0.4655034052007153,False
WIKI_sf1,MB_partial,0.1,500,0.10214556461985279,-0.37577633674591665,0.31855881784293505,False
WIKI_sf1,MB_partial,0.3,500,0.37741331789918653,-0.08976741331353716,0.9765530766892903,False
WIKI_sf1,MB_partial,0.5,500,0.08117731916254395,-0.03346890014826945,0.9797608602313531,False
WIKI_sf1,Hilbert,0.01,485,14.766850491658904,-0.07742994047050185,0.7897249312275746,False
WIKI_sf1,Hilbert,0.05,500,1.2453275685031626,-0.9549588021250476,0.5405754398069467,False
