cell,anchor,variant,n_pairs,pairing_valid,anchor_n_timeout,variant_n_timeout,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank,ci_lo_ms,ci_hi_ms,hedges_g,rank_biserial
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:zorder_morton,15,True,0,0,639.0636349096894,7658.070213976316,6505.427515949123,31.0,0.10699462890625,1.0,313,20.633865714383628,1482.028183273699,0.4683719362708523,0.48333333333333334
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,oracle,15,True,0,0,165.81846703775227,7658.070213976316,7605.985406087711,55.0,0.803955078125,1.0,381,-659.4518547877669,509.46188895109424,-0.025883305670585232,0.08333333333333333
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:chao_weighted,15,True,0,0,40.957941906526685,1723.3900869032368,1763.4619689779356,55.0,0.803955078125,1.0,301,-385.525397680273,189.34867869499908,-0.11053212330695582,0.08333333333333333
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:cum_sqrtf,15,True,0,0,-41.62076592911035,1723.3900869032368,1907.6749159721658,42.0,0.33026123046875,1.0,106,-441.7082915003023,84.42831223946982,-0.3041251634463411,-0.3
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:hilbert_real,15,True,0,0,73.34615290164948,1723.3900869032368,1708.3051330409944,31.0,0.10699462890625,1.0,30,21.31283135619015,331.2738991181443,0.4945147684101341,0.48333333333333334
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:hyperloglog,15,True,0,0,-10.649301926605403,1723.3900869032368,1805.8632320025936,53.0,0.7197265625,1.0,259,-405.4323557052218,192.37873239500905,-0.13244962520943807,-0.11666666666666667
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:ica_fastica,15,True,0,0,1.4525558799505234,1723.3900869032368,1767.4263829831034,59.0,0.97796630859375,1.0,354,-210.33196946489625,189.93716984676811,0.0034514076685658772,-0.016666666666666666
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:lavallee_hidiroglou,15,True,0,0,5.626107915304601,1723.3900869032368,1781.7854390013963,52.0,0.67877197265625,1.0,238,-397.1138364158105,156.67976410186378,-0.21067099966097103,-0.13333333333333333
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:mhist2,15,True,0,0,-14.312943094410002,1723.3900869032368,1743.1233440293,57.0,0.890380859375,1.0,331,-129.38018461553534,249.32358718845833,0.14277864321167852,0.05
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:pca1d,15,True,0,0,36.288706003688276,1723.3900869032368,1787.1611909940839,57.0,0.890380859375,1.0,330,-292.06996878783684,205.71222041306686,-0.08257719218600686,-0.05
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:rabitq_strat,15,True,0,0,-33.64839009009302,1723.3900869032368,1763.1385780405253,54.0,0.76153564453125,1.0,284,-138.41696203143027,196.09156173518082,0.07297075391071185,0.1
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:rsvd,15,True,0,0,30.725332908332348,1723.3900869032368,1737.4634828884155,43.0,0.359130859375,1.0,119,-47.36101044303116,316.0173256119014,0.3109635160801038,0.2833333333333333
tpc_h/q10 SSN sf10 sel0.001 qid0,B1,CaseB:skilling_hilbert,15,True,0,0,-50.22588896099478,1723.3900869032368,1760.8829280361533,53.0,0.7197265625,1.0,258,-198.0433522700332,227.50735082042695,0.02207924455807541,-0.11666666666666667
