cell,method,method_raw,B1_plan,CaseB_plan,plan_same,B1_ms,CaseB_ms,delta_pct,B1_recovers_oracle,CaseB_recovers_oracle,true_card,CaseB_injected_card,q_error,injection_fired,p_holm,hedges_g,cliffs_delta
tpc_h/q12 DEEP sf10 sel0.001 qid1,takeall_cumsqrtf,lavallee_hidiroglou,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,888.5,-1.2,True,True,8013.0,5792.2,1.383,True,1.0,0.0951081303026808,0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid2,chao_weighted,chao_weighted,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,864.3,4.1,True,True,8090.0,9300.1,1.15,True,1.0,-0.327653448216828,-0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid2,cum_sqrtf,cum_sqrtf,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,850.9,2.5,True,True,8090.0,7425.4,1.09,True,1.0,-0.2212493814213418,0.2
tpc_h/q12 DEEP sf10 sel0.001 qid2,ica_fastica,ica_fastica,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,864.3,4.11,True,True,8090.0,10458.0,1.293,True,1.0,-0.370748072391623,-0.2
tpc_h/q12 DEEP sf10 sel0.001 qid2,md5_prefix_hash_bucket,hyperloglog,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,863.5,4.01,True,True,8090.0,9802.2,1.212,True,1.0,-0.3850875784424258,-0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid2,pca1d,pca1d,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,850.6,2.45,True,True,8090.0,7300.1,1.108,True,1.0,-0.3079430416868276,-0.2
tpc_h/q12 DEEP sf10 sel0.001 qid2,pca2d_equi_depth_grid,mhist2,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,822.7,-0.9,True,True,8090.0,6692.0,1.209,True,1.0,0.0477257779745111,-0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid2,pca2d_hilbert_xy2d,hilbert_real,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,827.9,-0.28,True,True,8090.0,9404.8,1.163,True,1.0,0.083287968670946,0.2
tpc_h/q12 DEEP sf10 sel0.001 qid2,pca2d_zorder_morton,zorder_morton,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,847.5,2.09,True,True,8090.0,7300.1,1.108,True,1.0,-0.1276974417125486,0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid2,pca4_skilling_hilbert_approx,skilling_hilbert,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,858.3,3.38,True,True,8090.0,10458.0,1.293,True,1.0,-0.295002379409665,-0.2
tpc_h/q12 DEEP sf10 sel0.001 qid2,rabitq_1bit_bucket,rabitq_strat,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,858.7,3.43,True,True,8090.0,11371.3,1.406,True,1.0,-0.2947000804733747,-0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid2,rsvd,rsvd,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,843.4,1.59,True,True,8090.0,6123.9,1.321,True,1.0,-0.3158946599198913,-0.2
tpc_h/q12 DEEP sf10 sel0.001 qid2,sparse_rp,sparse_rp,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,847.9,2.13,True,True,8090.0,7247.4,1.116,True,1.0,-0.2234572267299996,0.4666666666666667
tpc_h/q12 DEEP sf10 sel0.001 qid2,takeall_cumsqrtf,lavallee_hidiroglou,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,830.2,851.3,2.54,True,True,8090.0,8514.6,1.052,True,1.0,-0.2582002103068084,-0.2
tpc_h/q3 DEEP sf10 sel0.001 qid0,chao_weighted,chao_weighted,Sort > Gather > NL > NL > NL > Seq > IS > IS > IS,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,diff,1018.1,927.1,-8.94,False,True,7603.0,7157.9,1.062,True,1.0,0.4559939971290574,0.0666666666666666
tpc_h/q3 DEEP sf10 sel0.001 qid0,cum_sqrtf,cum_sqrtf,Sort > Gather > NL > NL > NL > Seq > IS > IS > IS,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,diff,1018.1,990.0,-2.76,False,True,7603.0,6226.2,1.221,True,1.0,0.1924343883463111,0.0666666666666666
