cell,anchor,variant,n_pairs,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank,ci_lo_ms,ci_hi_ms,hedges_g,cliffs_delta
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:skilling_hilbert,15,-1.4459849335253239,3841.689909924753,3852.3242420051247,60.0,1.0,1.0,112,-143.81877032166813,18.791099797429816,-0.21527673713828974,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:sparse_rp,15,11.39793696347624,3841.689909924753,3829.0814699139446,40.0,0.27685546875,1.0,44,-131.52089803227378,32.2369153634645,-0.1434566697703773,0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:zorder_morton,15,-12.844413053244352,3841.689909924753,3864.795660949312,54.0,0.76153564453125,1.0,90,-223.92069516742293,16.703201552930572,-0.317604527661081,-0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,oracle,15,-2.2512730211019516,3841.689909924753,3849.9080459587276,48.0,0.52447509765625,1.0,72,-291.0749971973322,2.403627564199246,-0.4213120685366896,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,B1,15,11.008740868419409,3851.8809330416843,3841.689909924753,47.0,0.48870849609375,1.0,86,-8.499626837631999,24.10074522757592,0.21908972324701653,0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:chao_weighted,15,9.067140985280275,3851.8809330416843,3869.496388011612,55.0,0.803955078125,1.0,105,-131.5829271743617,11.14623004046734,-0.2369851958729127,0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:cum_sqrtf,15,-1.4956188388168812,3851.8809330416843,3837.4894079752266,53.0,0.7197265625,1.0,96,-11.182313856358329,27.692746643442653,0.19226937339884848,-0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:hilbert_real,15,-2.333237905986607,3851.8809330416843,3850.186020019464,57.0,0.890380859375,1.0,109,-146.5609491490371,24.17524455774884,-0.19151680602105167,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:hyperloglog,15,2.4724379181861877,3851.8809330416843,3862.283777911216,59.0,0.97796630859375,1.0,117,-160.36075941364592,14.634050998332288,-0.23741201059888717,0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:ica_fastica,15,-3.9172250544652343,3851.8809330416843,3846.493743942119,57.0,0.890380859375,1.0,110,-238.05569372042856,20.262417824317993,-0.3086895132094445,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:lavallee_hidiroglou,15,20.75698901899159,3851.8809330416843,3847.6760890334845,31.0,0.10699462890625,1.0,67,-145.46572594224318,30.85814589110668,-0.14961687995673353,0.4666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:mhist2,15,16.897973138839006,3851.8809330416843,3842.2834270168096,42.0,0.33026123046875,1.0,77,-228.62309678651704,31.03602583500711,-0.26731284994955085,0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:pca1d,15,22.266802028752863,3851.8809330416843,3853.4549239557236,27.0,0.063720703125,1.0,64,1.9749369922404487,45.73858173137219,0.503294398460911,0.4666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:rabitq_strat,15,2.8250549221411347,3851.8809330416843,3844.5758130401373,45.0,0.42120361328125,1.0,83,-11.759630549155796,23.644744764897027,0.15872531917710617,0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:rsvd,15,0.8588709169998765,3851.8809330416843,3868.309359997511,53.0,0.7197265625,1.0,97,-225.11458782323948,10.115884420811197,-0.3394211536392376,0.06666666666666667
